name,description,size,language,created_at,pushed_at,fork,stargazers_count,watchers_count,forks,open_issues
Chm,Nodejs chm container which can even run in windows xp,144,JavaScript,2015 08 18T02:37:44Z,2015 08 18T04:45:39Z,false,0,0,0,2
Cleaning,,120,JavaScript,2015 06 19T15:12:32Z,2015 06 19T15:15:42Z,false,0,0,0,0
Cmuclmtk for nodejs,Mirror of cmuclmtk which can run in Node js,8120,C,2014 07 15T21:40:37Z,2014 07 15T21:44:01Z,false,0,0,0,0
CoffeeShopApp,Application for searching a coffee shop,215,JavaScript,2015 04 12T14:13:19Z,2015 04 23T15:12:15Z,true,0,0,0,0
Collections,This package contains JavaScript implementations of common data structures with idiomatic interfaces ,1343,JavaScript,2014 03 07T23:54:18Z,2015 06 09T17:50:49Z,true,0,0,0,0
Cordova android,Mirror of Apache Cordova Android,25559,Java,2014 01 01T18:22:03Z,2015 09 29T06:46:49Z,true,0,0,0,1
Cordova mobile spec,Mirror of Apache Cordova mobile spec,1377,JavaScript,2013 10 04T02:39:44Z,2013 10 04T02:44:51Z,true,0,0,0,0
CornerCouch,CornerCouch   AngularJS module for CouchDB,101,JavaScript,2013 03 18T20:14:25Z,2013 03 18T20:19:06Z,true,0,0,0,0
CorporaForFieldLinguistics,Small corpora from diverse language typologies  useful for testing scripts,39191,HTML,2011 02 23T19:04:16Z,2015 08 31T15:19:04Z,false,3,3,4,0
CorpusInuktitut,A collection of generated and extracted vocabulary ,21367,,2011 11 10T02:11:35Z,2012 03 17T17:34:00Z,false,4,4,3,0
CorpusWebService,Über simple node js Proxy to enable CORS request for any website ,292,JavaScript,2013 02 05T13:44:25Z,2015 06 11T02:09:52Z,true,0,0,0,0
CouchAppSVGPresentationSlides,A couchapp that lets you give a presentation by panning  rotating and zooming in an svg/png/pdf file,162,JavaScript,2012 11 11T02:55:18Z,2010 09 27T09:25:29Z,true,0,0,0,0
Couchbase lite android,Lightweight  embedded  syncable NoSQL database engine for Android ,9982,Java,2013 05 16T22:10:28Z,2015 05 26T13:49:39Z,true,0,0,0,0
Couchbase lite android listener,Embedded web server to expose Couchbase Lite REST API on an http socket,8252,Java,2013 08 29T20:21:46Z,2013 08 29T20:31:09Z,true,0,0,0,0
Couchbase lite android liteserv,An HTTP (ReST) interface to the Couchbase Lite database running on the device/emulator,3061,Shell,2015 05 25T18:40:10Z,2015 05 24T21:28:27Z,true,0,0,0,0
Couchbase lite java core,Couchbase Lite Java core library,7369,Java,2015 05 25T18:39:36Z,2015 05 22T21:21:52Z,true,0,0,0,0
Couchbase lite java javascript,Javascript view engine for Couchbase Lite Android,3003,Java,2015 05 25T18:40:22Z,2015 05 18T23:24:33Z,true,0,0,0,0
Crypto chrome,Chrome extension to enable crypto in the browser ,704,JavaScript,2013 08 19T01:41:17Z,2013 08 18T00:52:48Z,true,0,0,0,0
D3 cloud,Create word clouds in JavaScript ,896,JavaScript,2013 09 26T15:26:37Z,2015 09 23T15:36:48Z,true,2,2,4,54
D3Donuts,A simple D3 donuts samples with unlimited numbers of donuts with arrays for parts of the donuts ,168,JavaScript,2012 04 10T02:39:06Z,2012 04 10T02:39:22Z,false,1,1,1,0
D3meetup,,6779,JavaScript,2015 09 12T01:00:51Z,2015 08 30T23:19:38Z,true,0,0,0,0
Dashing,A realtime updating usage dashboard for fielddb servers (forked from dashing),817,JavaScript,2013 06 08T18:50:12Z,2013 06 08T18:55:06Z,true,0,0,0,0
Dative,A single page application that interacts with multiple linguistic fieldwork web service databases ,10684,CoffeeScript,2014 10 28T13:29:41Z,2015 10 05T02:01:58Z,true,0,0,0,0
DeepLearnToolbox,Matlab/Octave toolbox for deep learning  Includes Deep Belief Nets  Stacked Autoencoders  Convolutional Neural Nets  Convolutional Autoencoders and vanilla Neural Nets  Each method has examples to get you started ,14591,Matlab,2013 08 17T12:08:35Z,2013 07 09T11:43:43Z,true,0,0,0,0
Diacritics,Node js / components: remove diacritics from strings ("ascii folding"),55,JavaScript,2013 08 14T13:33:18Z,2013 08 14T13:49:06Z,true,0,0,0,0
Digit,Montage template package: Contains touch optimized Montage components for tablets and phones (work in progress) ,12667,JavaScript,2013 12 28T22:43:50Z,2013 12 30T15:41:32Z,true,0,0,0,0
Dotfiles,,0,Shell,2015 10 09T01:16:53Z,2015 10 09T02:06:18Z,false,0,0,0,0
DragAndDropDataCruncher,Drag and Drop Image Uploader,191,JavaScript,2012 11 24T19:45:20Z,2012 11 24T20:55:25Z,true,0,0,0,0
Dyslex disorth game sikuli,Sikuli tests for dyslex disorth game,2558,Python,2014 12 05T13:39:31Z,2014 12 05T13:38:28Z,true,0,0,0,0
DyslexDisorthGame,,6902,JavaScript,2012 08 20T18:24:22Z,2015 08 25T19:28:18Z,true,0,0,0,0
EasySec,Browser Security Suite,294,,2013 08 19T01:43:55Z,2013 08 17T22:16:23Z,true,0,0,0,0
EgnyteIntents,Intents library for Egnyte integration,792,Java,2015 06 28T14:37:46Z,2015 06 30T03:20:38Z,false,0,0,0,0
Endangered languages,A list of resources for conservation  development  and documentation of endangered  minority  and low or under resourced human languages ,1086,,2015 02 15T15:11:54Z,2015 02 15T07:34:10Z,true,0,0,0,0
Epub js,Enhanced eBooks in the browser ,13065,JavaScript,2013 10 28T20:09:51Z,2013 10 27T01:56:45Z,true,0,0,0,0
Epub3 boilerplate,An EPUB 3 0 template to help you get started with your ebook  (Includes iBooks display options ),60,,2013 12 19T06:45:26Z,2013 07 13T17:43:24Z,true,0,0,0,0
Epublib,A java library for reading and writing epub files,3106,Java,2013 10 28T20:01:48Z,2013 09 10T18:06:51Z,true,0,0,0,0
Esv text audio aligner,ESV Text/Audio Aligner to programmatically obtain the timings for each word in the corresponding audio,60,JavaScript,2013 10 28T18:15:09Z,2013 03 29T19:16:53Z,true,0,0,0,0
ExampleHTML5AudioStreaming,Example project showing audio streaming using HTML5 Audio with PhoneGap on iOS   https://build phonegap com/apps/242993,6554,JavaScript,2014 01 02T19:00:51Z,2014 01 02T19:01:11Z,true,0,0,0,0
Exceptionminer,Tool for mining stack trace information from GitHub and Google Code issues (to be added as an opensource project)  This tool is based on GHTorrent Dataset (http://ghtorrent org/),420,HTML,2015 09 09T19:25:50Z,2015 04 09T01:33:01Z,true,0,0,0,0
Fakinator,Create fake data to push to a CouchDB,2933,JavaScript,2013 01 10T15:44:28Z,2013 01 08T21:56:33Z,true,0,0,0,0
FieldDB,An offline/online field database which adapts to its user's terminology and I Language   http://fielddb github io,139890,JavaScript,2015 09 02T15:17:18Z,2015 10 11T19:01:49Z,true,0,0,0,0
Fielddb spreadsheet sikuli,Sikuli tests for the spreadsheet module,642,Python,2014 12 28T14:39:41Z,2015 01 05T12:30:45Z,true,0,0,0,0
FieldDBGlosser,A semi automatic IGT morpheme segmenter and glosser written in Javascript,816,JavaScript,2014 03 05T22:56:05Z,2015 07 29T15:51:52Z,false,0,0,0,0
FieldDBLexicon,A lexicon browser/editor web widget for FieldDB databases,300,JavaScript,2015 06 30T13:51:26Z,2015 08 19T13:43:04Z,true,0,0,0,0
FieldDBWebServer,,29813,HTML,2012 09 16T22:22:33Z,2015 09 15T20:37:40Z,true,0,0,0,0
Fieldtrip,The Matlab software toolbox for MEG and EEG analysis,451713,Matlab,2013 08 17T12:06:19Z,2013 08 17T10:02:34Z,true,0,0,0,0
Font Awesome,The iconic font designed for Bootstrap,12503,CSS,2014 01 06T03:43:51Z,2013 12 05T12:20:13Z,true,0,0,0,0
Frb,Functional Reactive Bindings (frb): A CommonJS package that includes functional and generic building blocks to help incrementally ensure consistent state ,937,JavaScript,2014 02 05T19:05:08Z,2014 07 03T19:34:08Z,true,0,0,0,0
Frb jsmtl,A FRB talk presented at JS MTL,176,JavaScript,2014 02 13T16:33:32Z,2014 03 11T04:00:00Z,false,0,0,0,0
GateBasicPluginTemplate,A simple gate plugin for preprocessing multilingual text for users to feed into Wordle net,96,Java,2012 02 08T21:25:49Z,2012 02 08T22:50:02Z,false,1,1,0,0
GATEinGrails,,1036,Groovy,2011 02 23T20:43:02Z,2011 02 23T21:52:42Z,false,1,1,0,0
GATEinSpring,,44691,Java,2011 02 23T20:16:36Z,2015 10 11T18:49:26Z,false,4,4,6,0
Generator angular fullstack,Yeoman generator for AngularJS with an Express server,10438,,2014 10 27T17:19:13Z,2014 10 08T16:17:30Z,true,0,0,0,0
Generator socketio,A quick way to start off a socketio project with nodejs & bootstrap (optional),246,JavaScript,2014 03 04T18:17:43Z,2014 03 04T18:52:28Z,true,0,0,0,0
Georgian Names,A simple application to search for Georgian names (first or last) and see how popular it is ,27660,Ruby,2014 04 04T15:34:27Z,2014 01 14T13:37:19Z,true,0,0,0,0
Github badges,Star / Fork badges for your GitHub Repository!,400,HTML,2015 08 02T15:29:24Z,2015 05 13T19:55:40Z,true,0,0,0,0
Grunt contrib analyze css,Grunt task that analyze your css with analyze css and compare the results to a user defined benchmark,196,,2014 08 13T00:07:30Z,2014 06 27T00:55:53Z,true,0,0,0,0
Grunt jasmine node,Grunt task for running jasmine node,148,JavaScript,2014 07 03T15:57:31Z,2014 07 22T13:16:37Z,true,0,0,0,0
Grunt menu,Useful menu interface for listing/executing your configured tasks,192,,2014 08 13T02:06:21Z,2014 08 06T17:27:36Z,true,0,0,0,0
Hackreduce publictransit,Library and resources for hack/reduce Hackathon events,83253,Java,2012 07 17T14:52:40Z,2012 04 29T03:53:34Z,true,1,1,0,0
Hadoop GATE,A Hadoop job that runs GATE applications,83,Java,2012 01 14T14:40:11Z,2012 01 14T01:47:12Z,true,2,2,0,0
Homebrew,The missing package manager for OS X ,31010,Ruby,2015 02 11T02:09:28Z,2015 06 27T10:17:16Z,true,0,0,0,0
Html5 audio read along,HTML5 Audio Read Along,60,JavaScript,2013 10 28T18:21:15Z,2012 05 06T14:15:08Z,true,0,0,0,0
Icon,Convert an image to thumbnails suitable for favicon  metro tiles  touch icons ,66,,2013 10 07T22:14:26Z,2013 06 22T19:03:46Z,true,0,0,0,0
ILanguage,A semi unsupervised language independent morphological analyzer useful for stemming unknown language text  or getting a rough estimate of possible parses for morphemes in a word  Input: a corpus  Uses compression  maximum entropy and fieldlinguistics ,233994,JavaScript,2015 06 08T20:22:05Z,2015 08 21T15:48:27Z,true,0,0,0,0
ILanguageCloud,An HTML5/Android word cloud generation codebase,2356,JavaScript,2013 11 20T15:55:38Z,2015 07 16T14:30:24Z,true,0,0,0,0
ILanguageCloudChrome,,630,JavaScript,2014 01 10T03:31:07Z,2015 07 16T14:36:55Z,true,0,0,0,0
Inimesed,An Android app that lets you search your contacts by voice  Internet not required  Based on PocketSphinx  Uses Estonian acoustic models ,907,Java,2013 05 13T20:56:50Z,2013 04 28T11:16:27Z,true,0,0,0,0
JavaScript Code Katas,Let's practice our JavaScript testing ,2840,JavaScript,2012 01 10T22:45:46Z,2011 06 13T18:29:50Z,true,1,1,0,0
Job Announcement Scraper,A simple scraper to get job announcement info in Georgia,72965,Ruby,2014 04 04T15:32:28Z,2014 04 04T14:10:22Z,true,0,0,0,0
JPlayer,JPlayer : HTML5 Audio & Video for jQuery,60,JavaScript,2013 10 28T18:50:34Z,2013 06 21T16:05:06Z,true,0,0,0,0
Jquery autosuggest,A fork of AutoSuggest jQuery plugin writtern by Drew Wilson ,121,JavaScript,2012 09 05T16:31:47Z,2012 06 15T02:15:09Z,true,0,0,0,0
Js montreal org,The js montreal org website,23653,JavaScript,2011 11 09T00:55:16Z,2011 11 03T21:22:39Z,true,1,1,0,0
Json benchmarks,Benchmarks for groovy json and most popular json libraries,823,Java,2015 09 10T20:13:58Z,2015 09 11T15:02:58Z,true,0,0,0,0
Jstestdriver part1,Some sample jstestdriver setup code,100,JavaScript,2012 01 10T22:46:35Z,2012 01 11T15:39:50Z,false,1,1,0,0
JSuggest,A jQuery seach suggestion plugin that "tokenizes / taggifies" the selected items,81,JavaScript,2012 09 05T16:30:01Z,2012 06 24T23:33:55Z,true,0,0,0,0
Kibana,Kibana,39318,,2014 10 17T02:49:28Z,2014 10 16T20:49:11Z,true,0,0,0,0
LexiconWebService,,310,JavaScript,2013 09 29T03:59:42Z,2015 06 11T02:10:12Z,true,0,0,0,0
Long audio aligner,Http://sourceforge net/p/cmusphinx/code/11633/tree/branches/long audio aligner/Aligner,13016,Java,2013 05 13T20:47:28Z,2012 10 17T06:25:31Z,true,1,1,0,0
Loremtyaosani,ავტომატურად აგენერირებს სტროფებს ვეფხისტყაოსნის მიხედვით,606,JavaScript,2014 04 04T11:43:19Z,2013 05 18T11:52:54Z,true,0,0,0,0
LowResourceLanguages about,A meta repository for discussion  planning  and documentation of this organization,549,JavaScript,2015 09 19T03:13:58Z,2015 09 20T23:42:16Z,true,0,0,0,0
Matte,Montage template package: Contains desktop UI components ,1027,JavaScript,2013 08 27T02:21:02Z,2014 02 10T05:45:25Z,true,0,0,0,0
Mcbenchviz,Visualize performance results of benchmarks ,481,JavaScript,2013 08 17T13:56:43Z,2013 08 18T13:40:45Z,true,0,0,0,0
Medic,Continuous integration setup for Apache Cordova,918,JavaScript,2013 10 03T22:52:49Z,2013 04 22T15:08:11Z,true,0,0,0,3
Metrics,Capturing JVM  and application level metrics  So you know what's going on ,15738,Java,2013 09 02T21:09:46Z,2013 07 23T22:19:30Z,true,0,0,0,0
Metrics 1,A metrics library for Node js,114,JavaScript,2013 09 02T21:16:29Z,2013 06 28T20:04:14Z,true,0,0,0,0
MigmaqLessons,,156924,CSS,2015 05 31T13:45:10Z,2015 05 31T13:16:33Z,true,0,0,0,0
Minit,Tool: Helps you build Montage applications by generating template applications and components for you ,446,JavaScript,2013 06 20T17:48:39Z,2013 12 05T17:12:17Z,true,0,0,0,1
MmMRI,Multi Modal MRI,1055,JavaScript,2014 10 18T16:18:22Z,2014 10 20T00:26:11Z,true,0,0,0,0
Mobile chrome apps,Chrome apps on Android and iOS,35970,JavaScript,2014 01 06T01:05:18Z,2015 08 10T19:19:38Z,true,0,0,1,3
Mobile services samples,,22073,JavaScript,2015 05 15T21:05:05Z,2015 07 16T12:55:09Z,true,0,0,0,0
Model contrib,Open source visualizations built with ModelJS,5875,JavaScript,2015 09 11T22:12:18Z,2015 09 14T14:49:11Z,true,0,0,0,0
Monaca framework android,Monaca Framework provides additional functionalities for PhoneGap hybrid mobile apps,24077,Java,2014 02 09T22:15:44Z,2013 10 08T01:47:55Z,true,0,0,0,0
Montage,Core framework: Montage simplifies the development of rich HTML5 applications by providing modular components  real time two way data binding  CommonJS dependency management  and many more conveniences  Join us on irc freenode net#montage or https://groups google com/d/forum/montagejs,24310,JavaScript,2013 06 05T19:52:22Z,2014 02 26T21:09:05Z,true,0,0,0,0
Montage chrome app,Chrome app getting started in MontageJS,1972,JavaScript,2014 01 07T05:46:14Z,2014 02 13T19:55:35Z,false,0,0,1,0
Montage chrome extensions,Chrome extension getting started in MontageJS,1648,JavaScript,2014 01 07T04:27:11Z,2014 01 07T05:40:02Z,false,0,0,0,0
Montage crypto,Running crypto js in montage,1368,JavaScript,2014 08 25T18:00:49Z,2014 08 25T19:09:48Z,false,0,0,0,0
Montage mobile webviews,MontageJS testing ground in Android/iOS webviews ,10367,JavaScript,2013 09 12T00:51:55Z,2014 12 01T22:08:08Z,false,0,0,1,0
Montage popcorn cordova,Montage Popcorn demo running inside Cordova/PhoneGap,18078,JavaScript,2013 09 12T00:56:26Z,2013 09 12T15:34:49Z,true,0,0,0,0
Montage todomvc,The TodoMVC comparison app implemented using Montage,84,JavaScript,2013 06 05T23:46:40Z,2012 08 01T22:16:25Z,false,0,0,0,0
Montagejs org,The montagejs org website with an introduction about Montage ,46134,CSS,2013 12 05T22:16:40Z,2014 02 17T01:18:21Z,true,0,0,1,0
MorphoParser,A semi unsupervised language independent morphological analyzer useful for stemming unknown language text  or getting a rough estimate of possible parses for morphemes in a word  Uses compression  maximum entropy and fieldlinguistics ,118164,Perl,2014 01 09T19:50:17Z,2014 01 09T19:52:20Z,false,1,1,3,0
Mousse,The library used by the MontageJS framework to manage the serialization of objects in its templates ,84,JavaScript,2013 09 05T20:26:06Z,2013 09 05T21:07:20Z,true,0,0,0,0
Mr,Montage Require: A "no build step" CommonJS module system for browsers ,709,JavaScript,2014 01 08T00:36:10Z,2014 01 08T00:39:05Z,true,0,0,0,0
MTLData Demos,,59,Python,2014 11 28T00:13:23Z,2014 11 25T06:18:11Z,true,0,0,0,0
MultilingualCorporaExtractor,Node io Spider for extracting multilingual corpora,136,Shell,2013 06 10T20:01:09Z,2013 06 10T22:50:35Z,true,0,0,0,0
Mytodo,,129,ApacheConf,2015 06 11T13:11:29Z,2015 06 21T15:18:05Z,true,0,0,0,0
Mytodo gulp,,224,JavaScript,2015 07 13T14:37:52Z,2015 07 21T16:57:56Z,true,0,0,0,0
Mytracks,Automatically exported from code google com/p/mytracks,37924,Java,2015 08 11T21:44:44Z,2015 08 12T12:33:01Z,false,0,0,0,9
Mytracks assets,Automatically exported from code google com/p/mytracks assets,1480,,2015 08 11T21:44:44Z,2015 08 11T21:46:21Z,false,0,0,0,0
NgParser js,A standalone angular expressions library,121,JavaScript,2014 01 16T16:35:09Z,2014 01 16T01:06:38Z,true,0,0,0,0
Node clips,NodeJS package for using CLIPS  a tool for building expert systems ,1164,C,2015 07 16T16:01:46Z,2014 01 05T08:23:04Z,true,0,0,0,0
Node oauth2 server,Complete  compliant and well tested module for implementing an OAuth2 Server/Provider with express in node js,454,JavaScript,2014 03 17T06:39:47Z,2015 05 13T02:23:18Z,true,0,0,1,0
Node opencv,OpenCV Bindings for node js,7685,C++,2013 11 07T21:26:41Z,2013 10 09T22:11:59Z,true,0,0,0,0
Node pocketsphinx,,209,,2014 08 21T17:33:11Z,2014 06 27T19:57:27Z,true,0,0,0,0
Node unoconv web service,Node js document converter using unoconv,60,JavaScript,2013 08 13T20:23:46Z,2013 06 13T14:00:15Z,true,0,0,0,0
Node wit,Node wrapper for Wit AI,363,JavaScript,2015 07 16T18:53:56Z,2015 05 18T18:53:56Z,true,0,0,0,0
Nodejs livechat,Livehelp/livechat made in node js,343,JavaScript,2011 12 18T01:42:12Z,2011 12 17T23:52:23Z,true,1,1,0,0
Nodejs sphinx,Node server which accepts audio files and runs praat and sphinx on them,72916,JavaScript,2013 12 08T05:38:49Z,2013 12 08T05:40:15Z,true,6,6,1,0
Nunaliit,Nunaliit Atlas Framework,19415,,2014 09 15T22:06:55Z,2014 09 12T03:32:03Z,true,0,0,0,0
Oauthorize,OAuth service provider toolkit for Node js ,124,JavaScript,2013 09 02T14:04:38Z,2012 07 02T19:32:40Z,true,0,0,0,0
Old,,51836,Python,2014 01 20T13:38:22Z,2013 08 13T18:10:09Z,true,0,0,0,0
OpenBankWebApp,Imported from our sourceforge project,4100,PHP,2015 09 09T16:59:08Z,2015 09 09T17:21:46Z,false,0,0,0,0
OpenIDConnect,A simple customizable OpenID Connect provider (server) for node js ,84,JavaScript,2013 09 02T21:40:52Z,2013 09 02T22:24:27Z,true,0,0,0,0
OPrime,Open Source Experimentation Libraries   Online and Offline for Android and HTML5,32673,JavaScript,2013 12 13T18:47:13Z,2014 03 27T19:03:26Z,true,3,3,1,0
OPrimeAdministrator,See https://github com/iLanguage/OPrime,1108,Java,2012 11 11T15:52:19Z,2012 11 21T07:35:18Z,false,0,0,1,3
OPrimeExperimentSampleAssets,Sample experiment json and stimuli,256,CSS,2014 06 21T09:44:34Z,2014 06 21T10:09:49Z,false,0,0,0,0
Orthographic pedant,Correcting common typos in Github one pull request at a time ,324,Python,2015 10 08T02:07:51Z,2015 10 08T02:10:39Z,true,0,0,0,0
Pdf js,PDF Reader in JavaScript,204,JavaScript,2013 12 13T19:28:58Z,2013 12 12T13:09:33Z,true,0,0,0,0
